MVA,Amazonian Umbrellabird,Cephalopterus ornatus,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
NWJ,Ash-colored Tapaculo,Myornis senilis,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
MTG,Barred Fruiteater,Pipreola arcuata,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
DCY,Bearded Guan,Penelope barbata,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
BCU,Black-and-white Becard,Pachyramphus albogriseus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
UXN,Black-capped Hemispingus,Kleinothraupis atropileus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
VBL,Black-chested Mountain-Tanager,Cnemathraupis eximia,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
VGJ,Blue-and-black Tanager,Tangara vassorii,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
RGH,Brown-bellied Swallow,Orochelidon murina,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
HNQ,Buff-winged Starfrontlet,Coeligena lutetiae,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
VDK,Chestnut-breasted Chlorophonia,Chlorophonia pyrrhophrys,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
NTZ,Chestnut-crowned Antpitta,Grallaria ruficapilla,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
HOJ,Glowing Puffleg,Eriocnemis vestita,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
ENP,Gray-breasted Mountain-Toucan,Andigena hypoglauca,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
VBK,Hooded Mountain-Tanager,Buthraupis montana,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
HLC,Amazilia Hummingbird,Amazilia amazilia,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
RAJ,Mountain Wren,Troglodytes solstitialis,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
VNL,Paramo Seedeater,Catamenia homochroa,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
MBT,Plumbeous-crowned Tyrannulet,Phyllomyias plumbeiceps,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
VAH,Red-hooded Tanager,Piranga rubriceps,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
LBB,Variable Hawk,Geranoaetus polyosoma,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,GRAY PHASE,
MSX,Red-crested Cotinga,Ampelion rubrocristatus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
NUO,Rufous Antpitta,Grallaria rufula,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
WAN,Rufous-bellied Nighthawk,Lurocalis rufiventris,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
MLW,Rufous-breasted Chat-Tyrant,Ochthoeca rufipectoralis,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
LZR,Rufous-headed Pygmy-Tyrant,Pseudotriccus ruficeps,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
VBR,Scarlet-bellied Mountain-Tanager,Anisognathus igniventris,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
BTA,Slaty Finch,Spodiornis rusticus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
MMJ,Smoky Bush-Tyrant,Myiotheretes fumigatus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
NOS,Streaked Tuftedcheek,Pseudocolaptes boissonneautii,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
OVJ,Turquoise Jay,Cyanolyca turcosa,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
HPM,Tyrian Metaltail,Metallura tyrianthina,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
NWK,Unicolored Tapaculo,Scytalopus unicolor,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
WCSW,White-collared Swift,Streptoprocne zonaris,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
MDZ,White-banded Tyrannulet,Mecocerculus stictopterus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
NLK,White-browed Spinetail,Hellmayrea gularis,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,ID correct?,,,seen well but question whether occurs in Loja - could be another spinetail?,
MDE,White-crested Elaenia,Elaenia albiceps,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
MDV,White-tailed Tyrannulet,Mecocerculus poecilocercus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,,
MJW,Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Loja-Zamora Road also,
NKB,Azara's Spinetail,Synallaxis azarae,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Loja-to-Zamora road also,
BTPI,Band-tailed Pigeon,Patagioenas fasciata,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Loja-to-Zamora road also,
BLBW,Blackburnian Warbler,Setophaga fusca,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Loja-to-Zamora road also,
VBA,Blue-capped Tanager,Thraupis cyanocephala,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Loja-to-Zamora road also,
EEG,Crimson-mantled Woodpecker,Colaptes rivolii,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Loja-to-Zamora road also,
NJS,Mouse-colored Thistletail,Asthenes griseomurina,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Loja-to-Zamora road also,
UYB,Rufous-chested Tanager,Thlypopsis ornata,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Loja-to-Zamora road also,
VCC,Fawn-breasted Tanager,Pipraeidea melanonota,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Pinas (near Buenaventura) also,
UUZ,Black-crested Warbler,Myiothlypis nigrocristata,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
GIV,Little Sunangel,Heliangelus micraster,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
UWX,Grass-green Tanager,Chlorornis riefferii,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
UPU,Pale-naped Brushfinch,Atlapetes pallidinucha,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
NOM,Pearled Treerunner,Margarornis squamiger,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
EGL,Powerful Woodpecker,Campephilus pollens,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
NKY,Rufous Spinetail,Synallaxis unirufa,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
GXZ,Scaly-naped Parrot,Amazona mercenarius,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
UUP,Spectacled Redstart,Myioborus melanocephalus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
VNZ,White-sided Flowerpiercer,Diglossa albilatera,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
BEE,Blue-and-white Swallow,Pygochelidon cyanoleuca,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,"Loja-to-Zamora road, Quebrada Honda also",
HNL,Collared Inca,Coeligena torquata,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,"Loja-to-Zamora road, Quebrada Honda also",
QBC,Great Thrush,Turdus fuscater,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,"Loja-Zamora Road, Quebrada Honda also",
HLY,Speckled Hummingbird,Adelomyia melanogenys,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,"Loja-Zamora Road, Quebrada Honda also",
HHZ,Yellow-breasted Brushfinch,Atlapetes latinuchus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,"Loja-Zamora Road, Quebrada Honda also",
VBQ,Lacrimose Mountain-Tanager,Anisognathus lacrymosus,,1/8/98,Ecuador,Loja,,,"Cajanuma, Podocarpus National Park",,,,,Quebrada Honda also,
LZE,Streak-necked Flycatcher,Mionectes striaticollis,,1/8/98,Ecuador,Loja,,,Loja-Zamora Road,,,,,Quebrada Honda also,
VOO,Masked Flowerpiercer,Diglossa cyanea,,1/8/98,Ecuador,Loja,,,Loja-Zamora Road,,,,,"Cajanuma, Quebrada Honda also",
MVJ,Andean Cock-of-the-rock,Rupicola peruvianus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
SLAR,Slate-throated Redstart,Myioborus miniatus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
BOC,Bay-headed Tanager,Tangara gyrola,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,"Rio Bombuscaro, Pinas (Buenaventura) also",
VGH,Beryl-spangled Tanager,Tangara nigroviridis,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,"Rio Bombuscaro, Pinas (Buenaventura) also",
BPH,Orange-bellied Euphonia,Euphonia xanthogaster,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
BPH,Orange-bellied Euphonia,Euphonia xanthogaster,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
BLPH,Black Phoebe,Sayornis nigricans,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
VDJ,Blue-naped Chlorophonia,Chlorophonia cyanea,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
VBS,Blue-winged Mountain-Tanager,Anisognathus somptuosus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,,
