Family,Common Name,Specific Name,Date,Location,Country,State,Total
Loons,Common Loon,Gavia immer,Aug-08,Border Lakes,,Minnesota,502
,Red-throated Loon,Gavia stellata,Pesach 09,Half Moon Bay,,California,
,Pacific Loon,,12/22/17,Coronado Bay,,California,
,Yellow-billed Loon,Gavia adamsii,3/3/18,Chatfield Lake,,Colorado,
Grebes,Clark's Grebe,Aechmophorus clarkii,Pesach 09,Bay Lands,,California,
,Eared Grebe,Podiceps nigricollis,6/12/09,Lemmon,,South Dakota,
,Horned Grebe,,12/30/13,San Diego,,California,
,Pied-billed grebe,Podilymbus podiceps,1/12/07,Phoenix,,Arizona,
,Red-necked Grebe,,7/12/12,Anchorage,,Alaska,
,Western grebe,Aechmophorus occidentalis,6/5/07,San Jose,,California,
Pelecanidae,American-white Pelican,Pelicanus erythrorhynchos,5/8/04,Birchard Lake,,Nebraska,
,Brown Pelican,Pelicanus occidentalis,3/24/04,Monterrey,,California,
Phalacrocoracidae,Brandt's Cormorant,Phalacrocorax penicillatus,6/6/07,Santa Cruz,,California,
,Double-crested Cormorant,Phalacrocorax auritus,5/8/04,Birchard Lake,,Nebraska,
,Neotropic Cormorant,Phalacrocorax brasilianus,1/12/07,Phoenix,,Arizona,
,Pelagic Cormorant,Phalacrocorax pelagicus,6/10/07,San Diego,,California,
Ardeidae,American Bittern,Botaurus lentiginosus,5/27/18,Tuttle Marsh,,Michigan,
,Least Bittern,Ixobrychus exilis,5/2/21,Anahuac,,Texas,
,Black-crowned Night Heron,,,,,California,
,Cattle Egret,Bulbulcis Ibis,,,,Nebraska,
,Great Blue Heron,Ardea herodius,,Lake McConaughy,,Nebraska,
,Great Egret,Ardea alba,,Birchard Lake,,Nebraska,
,Green Heron,Butorides virescens,,Phoenix,,Arizona,
,Little Blue Heron,,12/16,,,Florida,
,Snowy Egret,Egretta thula,,San Diego,,California,
,Reddish Egret,,,San Diego ,,California,
,Tricolored Heron,,12/16,,,Florida,
,Yellow-crowned Night Heron,,,,,Florida,
Anatidae,American Black Duck,Anas rubripes,,Todd's Point,,Connecticut,
,American Wigeon,Anas americana,,Platte River,,Nebraska,
,Barrow's Goldeneye,Bucephala islandica,12/24/18,Littleton Reservoir,,Colorado,
,Black-bellied Whistling-Duck,Dendrocygna bicolor,,Phoenix,,Arizona,
,Blue-winged Teal,Anas discors,,Missouri River,,Nebraska,
,Canvasback,Aythya valisineria,6/12/09,Lemmon,,South Dakota,
,Cinnamon Teal,Anas cyanoptera,12/30/09,Phoenix,,Arizona,
,Common Goldeneye,Bucephala clangula,,Neal Woods,,Nebraska,
